RecordSequence,eqid,EQID,MW,Depth,STAID,T0.01s,T0.02s,T0.022s,T0.025s,T0.029s,T0.03s,T0.032s,T0.035s,T0.036s,T0.04s,T0.042s,T0.044s,T0.045s,T0.046s,T0.048s,T0.05s,T0.055s,T0.06s,T0.065s,T0.067s,T0.07s,T0.075s,T0.08s,T0.085s,T0.09s,T0.095s,T0.1s,T0.11s,T0.12s,T0.13s,T0.133s,T0.14s,T0.15s,T0.16s,T0.17s,T0.18s,T0.19s,T0.2s,T0.22s,T0.24s,T0.25s,T0.26s,T0.28s,T0.29s,T0.3s,T0.32s,T0.34s,T0.35s,T0.36s,T0.38s,T0.4s,T0.42s,T0.44s,T0.45s,T0.46s,T0.48s,T0.5s,T0.55s,T0.6s,T0.65s,T0.667s,T0.7s,T0.75s,T0.8s,T0.85s,T0.9s,T0.95s,T1s,T1.1s,T1.2s,T1.3s,T1.4s,T1.5s,T1.6s,T1.7s,T1.8s,T1.9s,T2s,T2.2s,T2.4s,T2.5s,T2.6s,T2.8s,T3s,T3.2s,T3.4s,T3.5s,T3.6s,T3.8s,T4s,T4.2s,T4.4s,T4.6s,T4.8s,T5s,T5.5s,T6s,T6.5s,T7s,T7.5s,T8s,T8.5s,T9s,T9.5s,T10s
1,2,202007270514,5,7,"BKVB",1.29319924709236,1.28540353417738,1.28852295579421,1.29355635724497,1.29839300922722,1.30042677038215,1.3053592923018,1.31247670394665,1.31468341879403,1.32129558255253,1.32449692525378,1.33331189217304,1.33870046518341,1.34389501791659,1.35664909368754,1.36770503986724,1.37787208689175,1.40068435255549,1.42903351319136,1.43966548053253,1.46407951150207,1.52518250837312,1.63026460500602,1.71133113621414,1.92059308573229,2.12877885641031,2.41673643463234,3.28103406294786,3.41596504739469,3.61549269694129,3.24661910236063,2.62314046796943,2.88244545479077,3.06842205839573,2.87520691456013,2.85404123645725,3.03573752981807,3.26692531507605,3.27306342569365,3.37727364198533,3.21705790555427,2.93856775026305,2.53757823367602,2.63989488264141,2.82117107266989,2.97659344245198,2.87624788303163,2.95974303499372,3.09994015430139,3.19463800307122,3.63226311535848,3.84660019008467,3.6999654850234,3.60612908111314,3.54970836931479,3.40605227520519,3.24543054421616,2.49048396189504,1.87484507801082,1.47302872293658,1.3842017803778,1.3295467720025,1.24301968531075,1.15031070574487,1.19312358322583,1.25586324668685,1.36160268994955,1.33333304912884,1.06393570839627,1.06899207583426,1.29430199156679,1.30569403253372,1.26641555183423,1.20158129051691,1.08899644433934,1.03029323155013,0.987673916907043,1.01251057328863,1.3168938461529,1.49461600645935,1.55954900443359,1.63448158822763,1.74325163051137,1.79817593312118,1.75571368602572,1.63055844273978,1.55769275930867,1.49243540278946,1.40677275537338,1.29845558295576,1.17171415620284,1.04066983837036,0.914809689932447,0.822874362675163,0.773691448355731,0.642984941745384,0.521970092191789,0.413809727424533,0.322676309395784,0.249817129589965,0.216004277670419,0.192064553212532,0.170931817144488,0.152438895371748,0.136352913098449
2,3,202007270537,3,7,"BKVB",0.0380580892727145,0.0379150520203272,0.038192963956306,0.0425446927310474,0.042591786969577,0.0462080370749861,0.0527573393728406,0.0661972932888957,0.0778328945603518,0.0968955359360171,0.0753084935023811,0.0627703408452025,0.0629579893321133,0.0662844632792881,0.0618139061020366,0.0530474989792355,0.0580379091838661,0.0499120384430317,0.0473537139658278,0.048965329091085,0.0519966584356664,0.0560370340592342,0.0639543767474586,0.069553628246392,0.0790053388723455,0.0996867471597721,0.121469624353095,0.180398610898788,0.204452226327644,0.152321914692412,0.138835879674297,0.129649781370744,0.0988773237266934,0.0980252424515404,0.0959256584413136,0.0796927895961383,0.0809103631830218,0.0792952041204681,0.092155417012399,0.0717995920562989,0.0597618113059602,0.0464820041946589,0.0311286332557104,0.0296440346775527,0.0299916553298998,0.029658203287373,0.0272766622561982,0.0271102282400315,0.0278093420481541,0.0285550207758919,0.0266691911065577,0.021989501332398,0.0176057677122948,0.0162539339882743,0.0150859469918988,0.013703367205245,0.0148648123375288,0.0107240632164874,0.00806393089080249,0.0079444778789709,0.00807019302980705,0.00776566641575019,0.00587154067206696,0.00524457306218187,0.00543004620859843,0.00577325538445621,0.00604769839889238,0.00523056019037089,0.00412198889755491,0.0034450275483763,0.00348666272939638,0.00354416314154777,0.00345144052137111,0.00320062871059837,0.00278953600191537,0.00237880445450712,0.00237741589294616,0.00238896418522156,0.0026268572201389,0.00327693425017566,0.00307718372104547,0.00303807656418769,0.00283493095565116,0.00273841285747392,0.00287372479281494,0.00266239078674462,0.00246667325763355,0.00224648576883232,0.00195442315833082,0.00159966761878094,0.00128873704801827,0.00119531460547031,0.00119121696131053,0.00104878718724334,0.000917998235691212,0.000774395332898166,0.000631941825013254,0.00058794706974806,0.000537026201678937,0.00045230594007332,0.000377603451015454,0.000405550768971544,0.000425564190409448,0.000426613714897799,0.000415029371630032
3,4,202007270850,3.4,7,"BKVB",0.057736678157714,0.0583218083567558,0.0588346475705584,0.0586366393722107,0.0594991943179291,0.0595783073806825,0.0603674089196168,0.060608118938435,0.0611115740380084,0.0630950356376522,0.0647160284892537,0.0666897467282189,0.0673631667799442,0.0674797095196109,0.0664902841517805,0.0662175064733423,0.0710455309757547,0.0760617505694589,0.0809082885681237,0.0838102948100979,0.0889225875337459,0.0966355478650187,0.11556638981019,0.140613411100594,0.163006341836964,0.179475834853663,0.209437411653134,0.257961164158782,0.242293202779288,0.21653333316738,0.196101130696269,0.169696563940344,0.122820758971492,0.117290271091941,0.121956090039557,0.122248472577642,0.123069886626119,0.107067813068287,0.0961334571591281,0.0888760398287504,0.076217014530025,0.0586380443799424,0.0548311932817488,0.0521455147979732,0.0479656217869047,0.0439529196699456,0.0455091380032466,0.0488406503775772,0.0517671151719695,0.0545070349258892,0.0544338775921804,0.0565530461723776,0.0570090516554714,0.0571795800767961,0.0569639501319114,0.0562901492519449,0.0553844221918617,0.0436689355138135,0.0352361533292786,0.026338507091024,0.0254813960811001,0.022004753684981,0.0214672716785071,0.0188887715580677,0.0199263240038002,0.0200386606747739,0.0196274218561477,0.01723172928585,0.0133329181896344,0.0120176768121063,0.0135865535308231,0.0129736938704263,0.0115385734470804,0.0101904328844244,0.00847699795998076,0.00726768137050631,0.00685950978826164,0.00696060875249508,0.0083856392769629,0.00881194942802694,0.00856084464615124,0.00793416003729526,0.00818906239908311,0.0087629363361158,0.00844849343782858,0.00795803681973428,0.00764558368589001,0.00731308728841143,0.0068884722799994,0.00662697639696845,0.00607001827172685,0.00541406463445858,0.00458020930855149,0.00388248248510059,0.00360563955837081,0.00307745439509677,0.00254072904407617,0.00198159512676255,0.00155871872269405,0.00122052854930987,0.00104372234546613,0.000933419033885793,0.000811893308721591,0.000703651197813793,0.000636882731104389
4,5,202007270915,3.1,6,"BKVB",0.0800130951417329,0.079370717456193,0.0800084049103278,0.0811113419941768,0.0823345095884705,0.0824033750466368,0.0826462272607639,0.0846304773050228,0.0851706245584023,0.0863498722421374,0.0868207943741626,0.0880511474656557,0.089034400238813,0.0903389596378239,0.0923233083838014,0.0946060865260231,0.100352298674865,0.10305040497035,0.10681569171781,0.111718961326783,0.117152866366105,0.128345519769759,0.143868695773322,0.175351188948738,0.220960685523001,0.259167633415407,0.284947695948508,0.291354273192567,0.297221876101374,0.309587407806804,0.3061786847757,0.333004475121549,0.235962632621634,0.260107993340975,0.254090790737869,0.259020197433289,0.224986099323731,0.184498177754973,0.192075732612275,0.155049331804759,0.122388583022321,0.0924504729199839,0.0563736103829157,0.0533757761527901,0.0507056523627897,0.0481987382353067,0.0523341455049846,0.0524430286925737,0.0529620701723598,0.0537807559031625,0.0512399884920389,0.0489985692226227,0.0465019126591889,0.0452551575713786,0.0446523845676048,0.0426543576298066,0.0421462941792687,0.0323009940205006,0.0264442324347883,0.0205333421296424,0.0202698067072171,0.0177559976565777,0.013853488727166,0.0114651861011755,0.0126473604159364,0.0133404685704946,0.0130581066743943,0.011457410719872,0.00883483403375825,0.00803770330107677,0.00919191255686043,0.0092136884678271,0.00859023390847834,0.0075014176961948,0.00618703018577219,0.00538583638702205,0.00505582274205992,0.00488057601089019,0.00554980834096578,0.00676147301538029,0.00643164332823704,0.00584332564263327,0.00525273885063649,0.00586705801685992,0.00513650033013416,0.00477038691095042,0.00456867590558547,0.00435155930790949,0.00398667529119111,0.00368969668508131,0.00343075126631628,0.00323979346915283,0.00297131874131022,0.00276413654379667,0.0026010893109991,0.0021795320577348,0.00184471021224052,0.00161581729974956,0.00123996706787457,0.0011462102899107,0.00110868525487147,0.000881678569529177,0.000810252652425644,0.000849617349172106,0.000836033188959887
5,6,202007272316,3.3,6,"BKVB",0.060618103677657,0.0601823287519483,0.0600423396527749,0.0601892340161383,0.0603671381894273,0.0607949094122099,0.0617122737996994,0.0619838415319123,0.0623932793563103,0.0636894579646699,0.0654526863244221,0.0666572736545107,0.0670168343752968,0.067465411372643,0.069417955231786,0.0706660991955387,0.0730907482928275,0.0799628107564783,0.0841203524094003,0.0864824790979115,0.0903716758453596,0.0978826187455117,0.102982158782257,0.114309995265174,0.132211602257387,0.164826138864913,0.188960517475995,0.234734420666186,0.279703779641326,0.241757321980423,0.255361304657444,0.257449104605206,0.22154775783816,0.222399832436065,0.217211050541141,0.179483438552971,0.129286146047103,0.112942631492783,0.119733055006344,0.100727742323254,0.0871731987068166,0.078045583878947,0.0632624754991175,0.0592948665814916,0.0542824104180633,0.0523462675320905,0.0534630465438721,0.0549072298921604,0.0556928494965656,0.0523911739005466,0.0457901024349448,0.0415082519891145,0.0360550543535983,0.0345927266290897,0.0332170103741898,0.0313308243435268,0.0311736046445324,0.0280957286985667,0.0207962856503277,0.01914885911025,0.0193276879499653,0.0202520098118992,0.0172795047206853,0.0154514901620561,0.0151133482682597,0.0152891993661538,0.0156073731695529,0.0146957073405158,0.0111711505193056,0.00979023190532522,0.0093696120421813,0.0091545534172575,0.00856396287064978,0.00802142679411203,0.00734944025856427,0.00762930990455802,0.007123349875618,0.00684882773588306,0.00862078362663449,0.00924906626385754,0.0094208089599571,0.00934013741658316,0.0090545419724493,0.00892549985836189,0.00879287665911089,0.00810109269876979,0.0075632296222011,0.00706840275733631,0.00642925206927768,0.00598684501337734,0.00554322100796366,0.00488836018908769,0.00414369079118444,0.00362658422684137,0.00337119154675632,0.00284650418355488,0.00234164200491781,0.00186455917113536,0.00144608105682279,0.0011833560292393,0.0010699203568779,0.0009269680718349,0.000836270728347865,0.000732191872591598,0.000635099327185063
6,8,202007280125,4.1,6,"BKVB",0.166155648585371,0.163839320437349,0.164045339147671,0.16605907902655,0.167057553315576,0.167551276917802,0.1684264192882,0.169961700383241,0.170517593567069,0.173107539064452,0.175485409272029,0.176752427503744,0.177654931412765,0.178711621251504,0.180713926896849,0.184006444279617,0.197722444313761,0.203847705901668,0.22096290806694,0.224111278891214,0.225499243986344,0.243894971929506,0.267224118453747,0.304592675338794,0.381621828967589,0.414749366289713,0.455353216444951,0.56225503169427,0.679998513376675,0.650897899468582,0.613636516280724,0.466045658489805,0.394374423642037,0.420529809409646,0.483292987841703,0.505362358151153,0.479104497326595,0.478521279207502,0.536110757814825,0.51905154512759,0.485322753500702,0.482553506483127,0.395454867530464,0.361470811787487,0.324810634176281,0.28215639329383,0.275207748037829,0.289909495060888,0.301444684113785,0.302367483904737,0.288792581024953,0.262536483133826,0.252264297161723,0.255016466499207,0.255051155262045,0.251257353146815,0.26729899574624,0.236378927861473,0.210625243477553,0.154954786030796,0.149703471119,0.135749160627312,0.12123430065441,0.114227140010286,0.123381170899994,0.127802453027984,0.12732974141356,0.112221896710885,0.0978614058694381,0.0956408715910072,0.107076890194376,0.110053081396255,0.104726729594367,0.0952531125017989,0.0800655689775301,0.0715752068951946,0.0643570596331772,0.0695249534602434,0.0727085761971025,0.0786937857167287,0.0752082930068302,0.0730406638148806,0.074438028856895,0.0778432744724912,0.0779014038211358,0.0734128822422861,0.0702170663901697,0.0668717122970202,0.0628489595608602,0.0578789718402375,0.0523351267417146,0.0467191735065848,0.0410176065936242,0.036179505838307,0.0333654050362564,0.028292208684664,0.0231615623486685,0.0184948601645097,0.0145146495482401,0.0114959008560203,0.00980764746736441,0.00875167645812909,0.00776705760162235,0.00685421870322587,0.00606462031953378
7,9,202007280500,3,7.2,"BKVB",0.0461677437376112,0.045618806104828,0.0465997509520809,0.0479339962037858,0.0469174432596499,0.0465406903437099,0.0460242579853658,0.046810815409164,0.0471284997930016,0.0475286714956457,0.0476279872037812,0.0481989050702474,0.0488431796855042,0.0496731550666361,0.0510096031031654,0.0522408928032738,0.0540195989691475,0.0566231856024231,0.0640073959728171,0.0648080761952337,0.0662658220742252,0.0706592907666826,0.0860270301056167,0.0940864375127638,0.110862442536884,0.136345506237346,0.137578242888896,0.179112010592129,0.210890328475247,0.196376769450347,0.184274831408185,0.184269741122447,0.177815596647485,0.121703191015802,0.0985381912875477,0.0914837561279881,0.0897262807844112,0.0835278850367987,0.0823166903555247,0.0625598845030353,0.0512707934987054,0.0426435594571149,0.0349959589336473,0.0305941321764924,0.0276456132602895,0.0236839752092342,0.0217665087672935,0.0216706002766517,0.0235522750521154,0.0276320235182258,0.0307653036504169,0.0275735183354041,0.0217253889077125,0.0194037358412279,0.0174893156552992,0.0141485978419265,0.0120034351503355,0.0117901801537523,0.00876304430216592,0.00681393811088721,0.00691134006626905,0.00661593423919865,0.00612868325043977,0.00670352591993149,0.0057994218121706,0.00604677600083274,0.00671102011861086,0.00561143171091728,0.0046331253975956,0.00397960944319047,0.00416172563225279,0.00458406479974547,0.00452283227785744,0.00450595370615446,0.00370157084659988,0.00293354063209546,0.00240099622629571,0.00202853649480205,0.0022130384941157,0.00240113100596056,0.00228669582854078,0.00206368133356281,0.00211107682518007,0.00255483359133433,0.00278588995384209,0.00249265226211082,0.00240855757737528,0.0022927492697069,0.00204703786912303,0.00204721421484309,0.0020412560060315,0.00182615605457699,0.00161406324435301,0.00136292278290469,0.00121981620618824,0.000943125281294091,0.000805092545240219,0.000687376862496365,0.000506402792861078,0.00039904663407081,0.000396446760489182,0.000397517939649225,0.000371958402003043,0.000328497132627687,0.000265864160892331
8,10,202007281107,3.3,10,"BKVB",0.0515229589297632,0.0520228006511594,0.0528734457893208,0.0557001948173469,0.0616891280465214,0.064596410954909,0.0759505593522605,0.0779799226452601,0.0699975522001855,0.0637017175813128,0.0621805650566344,0.0589014375068752,0.0579772822113546,0.0573832019488467,0.0564338097307843,0.0558014111626324,0.0588933220849413,0.0623811680246217,0.0628914297980631,0.063977824532688,0.0682616761553541,0.0773311961034561,0.0841634653262014,0.0973494898503774,0.10344002960627,0.131409453475484,0.150609381503691,0.179029632968637,0.201967098520611,0.200543444472911,0.181945124480266,0.174237811254264,0.211474731623747,0.200869571287623,0.179855968815384,0.15660020779095,0.132321029879003,0.126602334103029,0.127353724304109,0.111087993586213,0.0977630034607687,0.0988836680718238,0.0760776302193932,0.0608322847442427,0.0517291267677282,0.0436167235064307,0.0414441634835525,0.0432549233210322,0.044030604512443,0.0429893545781545,0.0399537695227969,0.0346606708400442,0.0300525610835615,0.0283157681444271,0.0268455635897239,0.0265058326903265,0.0298939902246827,0.0276622110358357,0.023843191465907,0.0187921333044515,0.0182908869186772,0.0167460180738041,0.0148644808997986,0.0134809455111686,0.0140515502446211,0.0137424357036233,0.0133217556345729,0.012170549783407,0.00894768088358586,0.00774981037549024,0.00865648206801619,0.00892000696746077,0.00831311691698892,0.00749378384820999,0.00674294620457466,0.0063644694608981,0.00589418454298205,0.00597476849775386,0.00675696027564454,0.00734959490002023,0.0072570765577778,0.00736729180739922,0.00712901726343443,0.00694931756472895,0.00688939917034854,0.00649883055336388,0.00625049711670939,0.00594751959304518,0.00529304250071169,0.00503046253375298,0.00467502311331513,0.00422333207096058,0.0036576517352047,0.00325545445959197,0.00303252915070981,0.00251685078228596,0.00205377477009481,0.00168928629991416,0.00133842511986863,0.00108261249744622,0.00102263456947383,0.000870371922504694,0.000702129025093019,0.000606215541225692,0.000536905022475213
9,11,202007281326,3.3,10,"BKVB",0.104380682442945,0.101917768967272,0.103324154155429,0.104559541462891,0.105065234621065,0.105701477696768,0.106623397954577,0.108606009966868,0.109245385926164,0.11076199871699,0.112069521550172,0.113415542821821,0.11452337939782,0.116059870667752,0.118780132437634,0.120596747237079,0.1240936897068,0.137759653302053,0.1425580043366,0.143019266591545,0.151810654806525,0.170287564283492,0.173499750215895,0.206784139946429,0.244991793298621,0.30889561756763,0.365582013030088,0.378078534671418,0.386084097428867,0.397968495652991,0.416743693669139,0.43897690464491,0.346694252158376,0.316304383606952,0.323757076418058,0.273514647707264,0.205823984913071,0.179763258342787,0.187084567176272,0.155294853478934,0.13428558975178,0.133234318149215,0.122758915307904,0.116389274053992,0.109170909009595,0.0928079923660643,0.0868467563235066,0.0879222391072382,0.0869482678943009,0.084256598850088,0.0711776832544742,0.0587510416181027,0.0517718644950294,0.0492191998457335,0.0470171702691746,0.0422476713341484,0.0382851016034357,0.0307784890571683,0.0214908675962967,0.0210233290091436,0.022182441488049,0.0226856122891452,0.0206101386664744,0.0183626772661853,0.015410701413234,0.0162581546569239,0.0155394907291377,0.0142556820074953,0.0108389688009384,0.00977623312668789,0.00886953199326742,0.00858356463180229,0.00798565982279116,0.00752538794051747,0.0069869923935915,0.00775902847872599,0.00734101976640824,0.00719490087929279,0.0083657320612318,0.00893065636312709,0.0095282295523111,0.00990744914062931,0.00961382275863961,0.00938692308860506,0.0090135905826802,0.00811006782645962,0.00761035781939311,0.00717568878633385,0.00671982839318263,0.00620344972798615,0.00548917363742044,0.00468166778770236,0.00404493820190999,0.00361740680372148,0.00331727884006089,0.0027491489742772,0.00215930902849095,0.00165433765188249,0.00127065442523567,0.000986813290568719,0.000908058669014608,0.000870237516103314,0.000776089101703622,0.000754507062466436,0.000736390785683748
10,12,202008031015,3.4,6.6,"BKVB",0.0444365856128677,0.0622231473595208,0.0734491386823885,0.0746148929330527,0.0867314038832052,0.0987196500337917,0.106877541256238,0.149088433824039,0.161188747615441,0.184830119901776,0.158933209405817,0.142977074821582,0.137693388859977,0.136766770702626,0.148535122224353,0.168786308484297,0.156700385817446,0.0992854837146868,0.0781973498336579,0.0783766260430168,0.069552462611565,0.0533494407309961,0.0430219151628626,0.0438189962541349,0.0476336278046276,0.052590629623759,0.0437168121627854,0.0279798851579969,0.0200112220680521,0.0193377824257952,0.0184709136905686,0.0146732837322197,0.0118263401444926,0.00856355424351763,0.00674897060058581,0.00597225710106542,0.00581499472787677,0.00565726705576645,0.00456853994620742,0.00448020600685687,0.00394513524664703,0.00368821137013854,0.00344566080162913,0.00338401120805601,0.00317029067303004,0.00314935686610156,0.00296142668912356,0.0029292967170662,0.00301522724730537,0.00302373160024337,0.00308660715125967,0.0030403232719968,0.00285550788110331,0.00278567729871637,0.00273120023849976,0.00281401822334387,0.00281993927000418,0.00263961415726141,0.00260639839989822,0.00268752052883421,0.00269417783302332,0.00268046671371182,0.00268546002396106,0.00265825681149286,0.00249779822336389,0.00249103095407192,0.00259746674521587,0.0026600041623947,0.00250017210689312,0.00254397737208484,0.00263820557377939,0.00266515303608093,0.003022397561329,0.00305220526251849,0.00313891973134504,0.00311936298536009,0.00315173698175373,0.00343932741990894,0.00393080232716148,0.00393318806058241,0.00423198412435645,0.004432054629403,0.00433225948980842,0.00421743563028263,0.00423441539857245,0.00397087370812324,0.00388061298030331,0.00390034680163599,0.00440948913244237,0.00423756476713638,0.00410951022994712,0.00375101907169292,0.00331979545178766,0.00310353790181124,0.00295880627047614,0.00299461639919282,0.0024765378233057,0.00232060342961541,0.00211059237423097,0.00199637495680025,0.00193720258431716,0.00187020706608285,0.00190854999196521,0.00189076347861248,0.00187084580860889
