,EQID,STAID,MW,H_km,evlat,evlon,stlat,stlon,0.1 hz,0.105263157895 hz,0.111111111111 hz,0.117647058824 hz,0.125 hz,0.133333333333 hz,0.142857142857 hz,0.153846153846 hz,0.166666666667 hz,0.181818181818 hz,0.2 hz,0.208333333333 hz,0.217391304348 hz,0.227272727273 hz,0.238095238095 hz,0.25 hz,0.263157894737 hz,0.277777777778 hz,0.285714285714 hz,0.294117647059 hz,0.3125 hz,0.333333333333 hz,0.357142857143 hz,0.384615384615 hz,0.4 hz,0.416666666667 hz,0.454545454545 hz,0.5 hz,0.526315789474 hz,0.555555555556 hz,0.588235294118 hz,0.625 hz,0.666666666667 hz,0.714285714286 hz,0.769230769231 hz,0.833333333333 hz,0.909090909091 hz,1.0 hz,1.05263157895 hz,1.11111111111 hz,1.17647058824 hz,1.25 hz,1.33333333333 hz,1.42857142857 hz,1.49925037481 hz,1.53846153846 hz,1.66666666667 hz,1.81818181818 hz,2.0 hz,2.08333333333 hz,2.17391304348 hz,2.22222222222 hz,2.27272727273 hz,2.38095238095 hz,2.5 hz,2.63157894737 hz,2.77777777778 hz,2.85714285714 hz,2.94117647059 hz,3.125 hz,3.33333333333 hz,3.44827586207 hz,3.57142857143 hz,3.84615384615 hz,4.0 hz,4.16666666667 hz,4.54545454545 hz,5.0 hz,5.26315789474 hz,5.55555555556 hz,5.88235294118 hz,6.25 hz,6.66666666667 hz,7.14285714286 hz,7.51879699248 hz,7.69230769231 hz,8.33333333333 hz,9.09090909091 hz,10.0 hz,10.5263157895 hz,11.1111111111 hz,11.7647058824 hz,12.5 hz,13.3333333333 hz,14.2857142857 hz,14.9253731343 hz,15.3846153846 hz,16.6666666667 hz,18.1818181818 hz,20.0 hz,20.8333333333 hz,21.7391304348 hz,22.2222222222 hz,22.7272727273 hz,23.8095238095 hz,25.0 hz,27.7777777778 hz,28.5714285714 hz,31.25 hz,33.3333333333 hz,34.4827586207 hz,40.0 hz,45.4545454545 hz,50.0 hz,100.0 hz
0,20080302182645,SLVB,4.0,30.4,22.256,101.865,21.33,103.965,7.13398241874e-06,7.43865054297e-06,9.00608153282e-06,8.58920033223e-06,9.46714859706e-06,1.0572455024e-05,1.08145797935e-05,1.07518597887e-05,1.13468946347e-05,1.31858200627e-05,1.50146512127e-05,1.64850072462e-05,1.79745025083e-05,1.9326258602e-05,1.98752619435e-05,1.91557808993e-05,2.25527581606e-05,2.93733989533e-05,3.39048878347e-05,3.75703892103e-05,4.63270021077e-05,5.12379036998e-05,4.8374283996e-05,4.32876834714e-05,4.54416607801e-05,5.5363876985e-05,7.78505172773e-05,9.15881321659e-05,8.61401899617e-05,9.40589163378e-05,0.000101863982301,0.000107498914566,0.000109378460757,0.000130853587415,0.000170680503323,0.00021112856772,0.000241095532209,0.000359898449425,0.000447257293154,0.000504416128025,0.00055678681786,0.00055449739813,0.000671573369074,0.000731184816976,0.000873201033301,0.000899520021795,0.00100766582021,0.00111241286341,0.00113242324538,0.00121323659054,0.00126146675657,0.00123724308031,0.00115995335017,0.00104421849763,0.00117374054403,0.00151562122114,0.0019418400295,0.00208037961664,0.00218651532241,0.00195784793547,0.0020068447139,0.00231419952298,0.0026866809357,0.00320507106143,0.00392405905192,0.0047774266869,0.00500977126884,0.00490178025056,0.00530245830787,0.00498543623808,0.00483768407556,0.00479140747001,0.00487415274297,0.00553953601046,0.00567404860264,0.00545853677201,0.0047993852813,0.00465034646933,0.00429255742195,0.00481482467342,0.00475121166329,0.00454062147777,0.0042088812137,0.00376245168444,0.00366769356763,0.00367686202199,0.00358098217784,0.00355415511086,0.00311823173206,0.00290971565336,0.00277096935766,0.00268778394489,0.00261919571732,0.00252320820242,0.00243003313051,0.00222917478526,0.00223631492662,0.00206340165855,0.00204655822379,0.00193131765218,0.00189869724676,0.00184759542756,0.00183548243617,0.00176354400653,0.00178152630243
1,20080321144629,BGVB,2.9,17.0,22.594,108.143,21.29,106.228,8.31313101461e-06,8.04715744787e-06,7.81135595752e-06,7.81145892207e-06,1.10172783683e-05,1.17549711729e-05,1.12358362194e-05,1.30173655083e-05,1.33396376839e-05,1.37209656954e-05,1.45424383956e-05,1.41808923083e-05,1.39962865553e-05,1.56608328946e-05,1.78206432217e-05,1.80564179106e-05,1.88749420258e-05,2.43384212753e-05,2.86792206061e-05,3.00429535923e-05,3.14565389764e-05,3.41006492097e-05,3.47836561019e-05,3.68344490511e-05,3.75343208223e-05,4.25912259174e-05,5.45194405714e-05,6.94945193771e-05,7.48373513658e-05,8.8464738019e-05,8.05720635975e-05,8.3684062275e-05,8.9089460032e-05,0.000111267723113,0.000135744264182,0.000147650993774,0.000174882108398,0.000211899420304,0.000210226230597,0.000231879532198,0.00028898563711,0.000380617961934,0.000455396373355,0.000465374692208,0.000526257640278,0.000539435513373,0.00059403622381,0.000600886579451,0.000798432355829,0.000966324361741,0.000973601267089,0.000979587422885,0.0010019080178,0.0012052573778,0.00142833293518,0.00175452469156,0.00204745319479,0.00219280929611,0.0025454580887,0.00286257549195,0.00308339398549,0.00332743236614,0.00364726349167,0.00388271006946,0.00396528047369,0.00448159284857,0.00521887437696,0.0070568886721,0.00864246504563,0.0115201453638,0.0145539933692,0.0171329635393,0.018467980385,0.0197943533945,0.0227808553662,0.0228463458889,0.0269113192535,0.0304903296477,0.0325894582603,0.0400609940004,0.0394217070501,0.0424051086706,0.0459468914718,0.0609312566777,0.0793120283281,0.0920188999012,0.0982747107289,0.100207617374,0.0870524384974,0.102680455019,0.0932755817789,0.0788596033488,0.0726307539345,0.0653979028708,0.0563459304545,0.0507763837156,0.0546648108846,0.0542396360259,0.0512690542698,0.0441997957945,0.0455840066326,0.0472378308258,0.0353638374818,0.0296780266382,0.0228063633569
2,20081008022137,DBVB,3.7,10.0,23.495,101.982,21.39,103.018,1.70065277837e-05,1.67279618541e-05,1.95432154084e-05,2.12100800394e-05,2.08431997739e-05,2.2692551792e-05,2.73936663019e-05,3.85007848434e-05,4.48614029315e-05,4.92921141654e-05,5.30776741129e-05,5.73828448834e-05,6.57385815597e-05,7.21031662393e-05,7.80614052621e-05,8.26351337581e-05,8.47445912009e-05,9.73301753116e-05,0.000102545719954,0.000104847094106,0.00011684985586,0.000134630766303,0.00016039199907,0.000183281631271,0.000191579224445,0.000210319578942,0.000275009197366,0.00035402361646,0.000423439574584,0.000475754510072,0.000557666348304,0.000661523385981,0.000838433632597,0.00104000997878,0.00142962290669,0.00182632419138,0.00221818973556,0.00290483984064,0.00346402973561,0.00386996564617,0.00394275504153,0.00364563078794,0.00376972538844,0.00504154289594,0.00616815643567,0.00674779170591,0.00814978327898,0.00740248575243,0.00780616316509,0.00823048128672,0.00933213047817,0.0097994091433,0.00976150265233,0.00973783029851,0.0107005285935,0.0121518335231,0.014690074868,0.0161935992085,0.0179066028564,0.0211384203515,0.0198417967933,0.0182656727046,0.018609895443,0.0221577417829,0.0281317003797,0.0341587488677,0.0435449524709,0.0399021002317,0.0348129589118,0.0322810138291,0.0321751472968,0.0321197853039,0.0297071815354,0.0312243080508,0.0302293540015,0.0322774670894,0.0422261090999,0.0343203312784,0.0326434289708,0.032208428905,0.0275936431989,0.0260972285988,0.0243321965391,0.0208515184886,0.0211252297014,0.0197666397272,0.0193754416157,0.0176172771705,0.016515150765,0.0174229827024,0.0186672350847,0.0185681496531,0.0179480033685,0.0178538734341,0.0173043837795,0.0156519507394,0.0164873279163,0.016287467225,0.0158445101382,0.0159631981709,0.0158306447249,0.0174312811082,0.0187682307671,0.0160486898462,0.012500365195
3,20081017213743,BCVB,3.4,10.7,23.271,103.995,21.885,105.772,7.46669151187e-06,9.14893404209e-06,1.09045094034e-05,9.40427528867e-06,9.89979038951e-06,1.16442937775e-05,1.18209921368e-05,1.60412126344e-05,1.89647080257e-05,2.0960161782e-05,2.67323805036e-05,3.07107968364e-05,3.4866419587e-05,3.5887395432e-05,3.56477963663e-05,3.44157211223e-05,3.60265829382e-05,4.11140181573e-05,4.44824381264e-05,4.71620381819e-05,5.1254880993e-05,6.34294855937e-05,7.59108688946e-05,8.90536978642e-05,9.95066927522e-05,0.000115431759113,0.000151016196917,0.000192275151102,0.00022152366848,0.000260320563018,0.000315245406384,0.000351478917979,0.00038230775613,0.000430766101451,0.000438239790058,0.000521112188161,0.000691900686158,0.000900168062911,0.000950551809795,0.00088956548338,0.000886825289582,0.00101242014705,0.00118732711533,0.00129930967758,0.00121214799954,0.00123473755255,0.00164269506135,0.00214629901132,0.00339090339312,0.00410945895342,0.0041746123726,0.00414667794466,0.00397665998142,0.00415734254628,0.00466694971612,0.0053088048217,0.00619276585607,0.0062729580678,0.006518508077,0.00813660937285,0.0100125840087,0.0109341619248,0.0106043706853,0.0106276336261,0.0124261749119,0.0139763621672,0.0155850546933,0.0159002382547,0.0166885416638,0.0198258724059,0.019488309324,0.0200415163235,0.0216616526375,0.0237150478342,0.0302109202631,0.0336324423955,0.0443596449127,0.0558830887479,0.0636323617027,0.0593472758172,0.0581264892064,0.0612179365581,0.0580359250571,0.0588294791988,0.0617786510607,0.0615089963774,0.0569764088055,0.0554795827157,0.0554808396714,0.0554274393757,0.0484113404184,0.0471598895454,0.0448271746166,0.0412004872364,0.0364576627659,0.0331353601129,0.0310479871631,0.030101771973,0.0276015528898,0.023882730908,0.0253440974974,0.0232129414686,0.022563565122,0.0213341650291,0.0186890992951
4,20081017213743,VTVB,3.4,10.7,23.271,103.995,22.252,104.899,9.97332145675e-06,9.19324017466e-06,9.36513106082e-06,1.25940789518e-05,1.64278600449e-05,1.51061559863e-05,1.53439447099e-05,1.70408959765e-05,2.190096279e-05,2.36581997945e-05,3.30501842848e-05,3.78473965273e-05,4.06470966663e-05,4.46707608943e-05,4.71585462945e-05,4.93160794293e-05,5.2009754491e-05,6.20607129229e-05,6.75990369855e-05,7.26962805296e-05,7.96962133569e-05,9.08700513867e-05,0.000102436248516,0.000110767438681,0.000117504533348,0.000131645746513,0.000153939450988,0.000190556234148,0.000212115129692,0.000235209596027,0.000267687867746,0.000322983586339,0.000391112153181,0.000463999860082,0.00052320357556,0.00066273085041,0.000870905642054,0.00109100922771,0.00118370936189,0.0012817083508,0.0013185349815,0.00145463496873,0.00168960877692,0.00197562088054,0.00224358644466,0.00243183002861,0.00308477287074,0.00415506323448,0.00607407825617,0.00650603233946,0.00713696453373,0.00738027265174,0.00740802833737,0.00717722669118,0.00807714022675,0.00984451903685,0.0102854108887,0.0105687613899,0.0115955565201,0.013596131654,0.0192835121904,0.0194876312166,0.0203701178658,0.0196245376653,0.0223176317962,0.0249770295666,0.0260732720789,0.0286425541748,0.0380262296745,0.0454736942522,0.0487639729676,0.0512139491489,0.0637942566871,0.0697831146044,0.0700900559085,0.0711909609891,0.0879743600601,0.0996402651876,0.138509981611,0.154362925493,0.204244334371,0.221387005235,0.235605687443,0.260062591889,0.330845302843,0.358098726421,0.351674373697,0.321925142728,0.29188677819,0.402898954651,0.409112540182,0.3906445773,0.376353805628,0.396965419505,0.40640462616,0.399152302144,0.349389087494,0.328997002445,0.315165171778,0.297719305308,0.299721983459,0.309237141428,0.221268879181,0.198006936716,0.117411156712
5,20081223012038,DBVB,4.2,8.1,23.464,101.868,21.39,103.018,9.98859428923e-05,0.000114485943711,0.000136463332774,0.000144075755615,0.000147307105847,0.00012116987366,0.000141832672363,0.000146352399068,0.000190960079,0.000209189317716,0.000168808050821,0.000188133204061,0.000191655169235,0.000186821152435,0.000233861616454,0.000293009604141,0.000312116672832,0.000382864333013,0.000386825432371,0.000391218738136,0.000354919711634,0.000457970723883,0.000627284679071,0.000610505046032,0.000561693769466,0.000615874748858,0.000793348420478,0.00108130633209,0.00110607134185,0.0010658349764,0.00126939605384,0.0013653238364,0.00159855205578,0.00204714280366,0.00225874798147,0.00233301078833,0.00259856742833,0.00346014069345,0.00369369095246,0.00403910781798,0.00403539793179,0.00489554315552,0.00557415704714,0.0063564618019,0.0060766803749,0.00655465317088,0.00784806370009,0.00857063759648,0.0104532695862,0.0106749331311,0.0114851954549,0.0122193781266,0.0130958029823,0.0144960804951,0.0156334204589,0.0163033890208,0.018498326614,0.0185554685049,0.0183049309677,0.0208336187847,0.0227599072887,0.02676006855,0.0312793934593,0.0311806838593,0.0268556538062,0.0298037884979,0.0353582563339,0.0429215443346,0.041935407227,0.0526082907867,0.0556414314046,0.0510441927555,0.0647550304854,0.0805873377814,0.0870242878879,0.0889260575229,0.0910156972109,0.105327309924,0.118732753542,0.148980057603,0.149185329213,0.177763584648,0.174008084006,0.182590465668,0.214824545711,0.244250989187,0.261615986708,0.296858883857,0.356703114476,0.368778894394,0.39495155343,0.450890044521,0.451090397993,0.472507942113,0.50722529205,0.552098022184,0.688818349004,0.702126243278,0.743574740241,0.821042599492,0.899991452169,0.993223184292,0.933879396377,1.00517056552,0.370264303965
6,20081229194950,SLVB,3.5,19.5,22.489,102.419,21.33,103.965,8.42342397744e-06,9.26657098788e-06,1.10209310546e-05,1.19440615799e-05,1.43503368108e-05,1.77085388509e-05,2.29199587041e-05,2.38929531455e-05,2.86358841503e-05,3.47192764705e-05,4.29326980358e-05,4.74792672507e-05,5.12761427735e-05,5.62576477674e-05,5.77480827539e-05,6.01901084484e-05,6.16628671597e-05,7.07419956861e-05,7.54058515303e-05,8.02910353373e-05,8.83660491952e-05,9.63299112804e-05,0.000111832211246,0.000122865766632,0.000130176595644,0.000139911086394,0.000149286377035,0.000167287388227,0.000168682071714,0.000182660477752,0.000218567782142,0.000248858034558,0.000308884242148,0.00032510609415,0.00038340582087,0.000490096469377,0.000496758239765,0.000548667623658,0.000582791743614,0.000680762277114,0.000801815987536,0.000991316581312,0.00120316976747,0.00133915694982,0.00151925255911,0.0015235320207,0.00146650887779,0.00162822489857,0.00223701722963,0.00214037076794,0.00214943126266,0.00224042279124,0.00232888992444,0.002325761449,0.00240390805082,0.00258802496552,0.00257919396826,0.00250846373098,0.00240245223627,0.00218093024285,0.00284294278253,0.00276722606337,0.00260011227034,0.00233960896445,0.00249956169255,0.00272470174289,0.00357283551374,0.00354204585655,0.00386168888118,0.0043302276424,0.00499551388751,0.0049687252186,0.00557317243413,0.00631936913341,0.0056338916087,0.00521486938005,0.00407318104354,0.00544113777272,0.00571606160876,0.00709460219727,0.00763436856231,0.00718416715395,0.00750246929716,0.00688185922073,0.00581694171828,0.00553290610642,0.00566806824329,0.0052359534015,0.0051084005034,0.00427852711897,0.00390158252466,0.00348492501288,0.00328100014966,0.00313630758664,0.00282309233537,0.00279719478159,0.00305436032317,0.00295846606018,0.00248045049105,0.0022953867664,0.00221637881676,0.00213712603654,0.002027831768,0.00205429105898,0.001966296778
7,20090307072805,DBVB,3.5,0.1,23.016,104.088,21.39,103.018,3.3433890728e-05,2.8882848889e-05,3.59678065761e-05,4.60863592565e-05,5.27909242164e-05,5.00819303703e-05,5.33550187961e-05,5.58547968921e-05,6.04073699457e-05,6.06168315134e-05,6.90235857919e-05,8.13594725095e-05,9.25829508272e-05,0.000101272327352,9.85153837051e-05,0.000108029174491,0.000119275952837,0.00015125059232,0.000148882645856,0.000137987931088,0.000167193549475,0.000245862898884,0.000275744842459,0.000372056353001,0.000400502026535,0.000418728048086,0.000498761981369,0.000517521372185,0.000516956511583,0.000516190789399,0.00061604386938,0.000572117721346,0.000600399190174,0.000668127566841,0.000726737363759,0.000781055088767,0.000851246780504,0.00106456147831,0.00122971347276,0.00164018391573,0.00177603253661,0.00186065965054,0.00214275692916,0.00213210728866,0.00253498577966,0.00275322677625,0.0043715422371,0.00452602896016,0.00619289325827,0.007354140145,0.00762788972425,0.00763369666802,0.00783537686802,0.00833013811412,0.00853506691239,0.00929403012562,0.0107537658061,0.0114795873107,0.0117938002224,0.0126721477227,0.0137580461263,0.015589176099,0.0181427524339,0.0253809129154,0.0246118909804,0.0260954017128,0.0288375350947,0.0304275039369,0.0310211226921,0.0342895301877,0.0393149386954,0.0441338696557,0.054212132917,0.0561942625652,0.0557394027302,0.0564770272073,0.0643353976232,0.0554113832721,0.0592822252545,0.0636916140949,0.0848773341146,0.111343164299,0.133520640766,0.134477476011,0.104554335988,0.0992916859901,0.101526822301,0.149539494239,0.20007730433,0.197838687858,0.177446519773,0.154515786333,0.153980727608,0.16509146192,0.236798557231,0.282807446564,0.237051575218,0.229728619679,0.23101686118,0.186689100483,0.184118340102,0.281361888242,0.187371482872,0.247538823517,0.102679495552
8,20090307072805,MCVB,3.5,0.1,23.016,104.088,20.833,104.648,1.16741369962e-05,1.13061377694e-05,1.27136984068e-05,1.32110075977e-05,1.38507207283e-05,1.24217945932e-05,1.55958445533e-05,2.08946716106e-05,2.13248874783e-05,2.84331339829e-05,3.59170518895e-05,4.12000590673e-05,4.49544966782e-05,4.94719331375e-05,5.25179186636e-05,5.54222544737e-05,6.01239189987e-05,6.69597678444e-05,7.14311929887e-05,7.65017180567e-05,8.23415963602e-05,7.92257402066e-05,9.26661974604e-05,0.000105628882535,0.000112405820328,0.000119118782068,0.000149948790664,0.000190071658855,0.000196962638841,0.000239399070802,0.000274115551412,0.000263660097006,0.00025359178254,0.000266439716492,0.000303195759053,0.000352472333197,0.000464488225609,0.00054517269571,0.000617127553949,0.000771423976812,0.00102426132292,0.00130578266094,0.00157696112175,0.00209304919851,0.00245275828791,0.00266333590555,0.00249558362882,0.00274871093362,0.00299623499938,0.00329604944442,0.00371531447735,0.00391712740885,0.0040897680565,0.00492218074741,0.00503848970977,0.00480352376503,0.00494729400197,0.0052801360958,0.00537138544189,0.0055069152059,0.00551175060642,0.00595305523758,0.00628923023711,0.00726500193215,0.00770900946244,0.00821381517492,0.0100932315591,0.0129005452294,0.0151216841203,0.0166278625408,0.0200839879628,0.0220467231921,0.0224960189541,0.0262635375991,0.0279846312622,0.0285667514463,0.0279929296034,0.0224330614166,0.0256033536454,0.0256053244727,0.0265732309519,0.0254145036638,0.0295645456482,0.0278776020668,0.0277072810861,0.0293420453776,0.0304278473928,0.0266480602102,0.0373569857417,0.0568598395239,0.0655708020673,0.0576777201673,0.0554263620087,0.0574882027894,0.0748448154268,0.0934097735566,0.0886958787361,0.107202332076,0.135138394164,0.101346353646,0.089411351701,0.100988385908,0.0931815957457,0.0621219763562,0.0256856516947
9,20090307072805,VTVB,3.5,0.1,23.016,104.088,22.252,104.899,1.47143911212e-05,1.62025740363e-05,2.08104573031e-05,2.02481421764e-05,2.121688253e-05,2.27759137289e-05,2.43939661308e-05,2.33891221283e-05,2.72122827433e-05,3.9062674273e-05,4.91787031454e-05,4.89929807357e-05,5.11600424899e-05,5.25411181535e-05,5.81932321256e-05,6.42271499253e-05,7.66943918994e-05,8.80906435789e-05,9.71765962385e-05,0.000107498433383,0.000123694406557,0.000122450214559,0.000138871452576,0.000162320732207,0.000178532055691,0.000196749925474,0.000232689293504,0.000281790537933,0.000319408145945,0.000398996560248,0.000485932857938,0.00055618504056,0.000666974788997,0.000775325371991,0.000908050575465,0.00101567591746,0.0012029478902,0.00143849770297,0.00166814120349,0.0019178748786,0.00221215999839,0.00268500169856,0.00330567642031,0.0039128271511,0.00475331485351,0.00515528860997,0.00617907284512,0.00745853672931,0.00937029115079,0.00981032712504,0.0108082745188,0.0112228304536,0.0119079095767,0.0139576505424,0.016603979216,0.0173909479768,0.0158456744265,0.0148129656658,0.0139874542543,0.0159908022887,0.0198897950916,0.0206098209965,0.0216112839685,0.023824769052,0.0238543377873,0.0246811318308,0.0335483568478,0.0444253219924,0.0512329200958,0.0550880975343,0.067606502247,0.0707223558515,0.0824839992817,0.111925995022,0.121935079826,0.129926401705,0.153439399189,0.177361107284,0.267869683358,0.302933115708,0.290830815687,0.304026590844,0.440957316953,0.447313226195,0.525680239642,0.512872683965,0.493612702038,0.478058924398,0.448175053372,0.491090167955,0.521418000541,0.506558601242,0.510390863351,0.509645080484,0.495510195812,0.528986777431,0.529877322175,0.534732906121,0.522799163584,0.467136482548,0.466858427613,0.408403353261,0.326943002072,0.311057911664,0.164948709296
