,eqid,evla,evlo,evdp,sta,stla,stlo,dis,mag
0,20080302182645,22.256,101.865,30.400,SLVB,21.330,103.965,240.147935977,4.2
1,20080302182645,22.256,101.865,30.400,DBVB,21.390,103.018,152.987413335,4.2
2,20080302182645,22.256,101.865,30.400,TTVB,21.466,104.379,274.176202543,4.2
3,20080302182645,22.256,101.865,30.400,LCVB,22.039,103.155,135.221557964,4.2
4,20080302182645,22.256,101.865,30.400,TGVB,21.592,103.418,176.493130085,4.2
5,20080302182645,22.256,101.865,30.400,SPVB,22.394,103.842,204.251749275,4.2
6,20080321144629,22.594,108.143,17.000,CBVB,22.660,106.271,192.582921839,3.5
7,20080321144629,22.594,108.143,17.000,MTVB,21.537,106.343,219.576307344,3.5
8,20080321144629,22.594,108.143,17.000,LSVB,21.853,106.749,165.492734718,3.5
9,20080321144629,22.594,108.143,17.000,BCVB,21.885,105.772,256.716277917,3.5
10,20080321144629,22.594,108.143,17.000,TIYB,21.335,107.389,159.685928408,3.5
11,20080321144629,22.594,108.143,17.000,PLVB,20.805,106.628,252.612288423,3.5
12,20080321144629,22.594,108.143,17.000,BGVB,21.290,106.228,244.911174744,3.5
13,20081008022137,23.495,101.982,10.000,LCVB,22.039,103.155,201.266698588,4.0
14,20081008022137,23.495,101.982,10.000,DBVB,21.390,103.018,256.333232802,4.0
15,20081008022137,23.495,101.982,10.000,SPVB,22.394,103.842,226.401026132,4.0
16,20081017213743,23.271,103.995,10.700,DBVB,21.390,103.018,231.333103655,4.1
17,20081017213743,23.271,103.995,10.700,DHVB,21.627,105.184,219.362162862,4.1
18,20081017213743,23.271,103.995,10.700,TTVB,21.466,104.379,203.752039095,4.1
19,20081017213743,23.271,103.995,10.700,TGVB,21.592,103.418,195.183296751,4.1
20,20081017213743,23.271,103.995,10.700,BCVB,21.885,105.772,238.641070671,4.1
21,20081017213743,23.271,103.995,10.700,CBVB,22.660,106.271,243.006977179,4.1
22,20081017213743,23.271,103.995,10.700,SPVB,22.394,103.842,98.382067533,4.1
23,20081017213743,23.271,103.995,10.700,VTVB,22.252,104.899,146.127626145,4.1
24,20081017213743,23.271,103.995,10.700,MCVB,20.833,104.648,278.248428495,4.1
25,20081017213743,23.271,103.995,10.700,LCVB,22.039,103.155,161.452281211,4.1
26,20081017213743,23.271,103.995,10.700,SLVB,21.330,103.965,214.957746924,4.1
27,20081223012038,23.464,101.868,8.100,TGVB,21.592,103.418,261.527192499,3.6
28,20081223012038,23.464,101.868,8.100,DBVB,21.390,103.018,258.382068048,3.6
29,20081223012038,23.464,101.868,8.100,SPVB,22.394,103.842,234.603668731,3.6
30,20081229194950,22.489,102.419,19.500,DBVB,21.390,103.018,136.52052526,3.6
31,20081229194950,22.489,102.419,19.500,VTVB,22.252,104.899,256.761194291,3.6
32,20081229194950,22.489,102.419,19.500,SLVB,21.330,103.965,204.906403292,3.6
33,20081229194950,22.489,102.419,19.500,TGVB,21.592,103.418,143.181401709,3.6
34,20081229194950,22.489,102.419,19.500,SPVB,22.394,103.842,146.859554066,3.6
35,20081229194950,22.489,102.419,19.500,TTVB,21.466,104.379,231.960397243,3.6
36,20081229194950,22.489,102.419,19.500,MCVB,20.833,104.648,294.6936382,3.6
37,20090120040301,22.203,101.410,10.000,SPVB,22.394,103.842,251.492637362,3.8
38,20090120040301,22.203,101.410,10.000,TGVB,21.592,103.418,218.247324796,3.8
39,20090120040301,22.203,101.410,10.000,SLVB,21.330,103.965,281.382720931,3.8
40,20090120040301,22.203,101.410,10.000,DBVB,21.390,103.018,189.083148154,3.8
41,20090307072805,23.016,104.088,0.100,HBVB,20.842,105.328,272.686109132,3.9
42,20090307072805,23.016,104.088,0.100,DBVB,21.390,103.018,211.165137705,3.9
43,20090307072805,23.016,104.088,0.100,DHVB,21.627,105.184,190.806809372,3.9
44,20090307072805,23.016,104.088,0.100,MTVB,21.537,106.343,284.302098755,3.9
45,20090307072805,23.016,104.088,0.100,TTVB,21.466,104.379,174.23860974,3.9
46,20090307072805,23.016,104.088,0.100,MCVB,20.833,104.648,248.548750955,3.9
47,20090307072805,23.016,104.088,0.100,VTVB,22.252,104.899,118.777193212,3.9
48,20090307072805,23.016,104.088,0.100,SPVB,22.394,103.842,73.3709917468,3.9
49,20090307072805,23.016,104.088,0.100,TGVB,21.592,103.418,172.135367301,3.9
50,20090307072805,23.016,104.088,0.100,CBVB,22.660,106.271,227.512093108,3.9
51,20090307072805,23.016,104.088,0.100,BCVB,21.885,105.772,213.846582054,3.9
