,STAID,stlat,stlon,styear,endyear
0,BCVB,21.885,105.772,2008,2012
1,BGVB,21.29,106.228,2008,2012
2,CBVB,22.66,106.271,2008,2012
3,DBVB,21.39,103.018,2008,2011
4,DHVB,21.627,105.184,2008,2012
5,LCVB,22.039,103.155,2008,2008
6,LSVB,21.853,106.749,2008,2012
7,MCVB,20.833,104.648,2008,2012
8,MTVB,21.537,106.343,2008,2019
9,PLVB,20.805,106.628,2008,2016
10,SLVB,21.33,103.965,2008,2009
11,SPVB,22.394,103.842,2008,2012
12,TGVB,21.592,103.418,2008,2020
13,TIYB,21.335,107.389,2008,2010
14,TTVB,21.466,104.379,2008,2014
15,VTVB,22.252,104.899,2008,2012
16,CCVB,19.057,104.856,2009,2011
17,HBVB,20.842,105.328,2009,2020
18,THVB,19.845,105.784,2009,2011
19,MLVB,22.042,103.154,2010,2011
20,VIVB,16.65,105.697,2010,2018
21,MLAV,22.042,103.154,2012,2020
22,VR03,21.8,106.604,2013,2020
23,VR04,21.736,106.543,2013,2017
24,VR05,21.674,106.447,2013,2020
25,VR06,21.622,106.373,2013,2017
26,VR07,21.56,106.289,2013,2017
27,VR08,21.518,106.222,2013,2016
28,VR09,21.456,106.152,2013,2019
29,VR10,21.407,106.074,2013,2020
30,VR11,21.352,105.999,2013,2018
31,VR12,21.292,105.919,2013,2019
32,VR13,21.223,105.853,2013,2018
33,VR14,21.166,105.774,2013,2019
34,VR15,21.11,105.7,2013,2018
35,VR16,21.054,105.626,2013,2018
36,VR18,20.956,105.492,2013,2020
37,VR19,20.891,105.385,2013,2018
38,VR21,20.761,105.259,2013,2018
39,VR23,20.662,105.094,2013,2018
40,VR24,20.603,105.036,2013,2018
41,VR01,21.916,106.745,2014,2019
42,VR02,21.863,106.673,2014,2017
43,VR17,21.006,105.553,2014,2018
44,VR22,20.696,105.182,2014,2019
45,VR25,20.519,104.973,2014,2020
46,HUVB,16.415,107.569,2018,2018
47,VN01,22.565,102.515,2019,2020
48,VN02,22.379,102.824,2019,2020
49,VN03,22.393,102.954,2019,2020
50,VN04,22.358,103.495,2019,2020
51,VN05,22.292,102.834,2019,2019
52,VN07,22.136,103.162,2019,2020
53,VN08,22.175,103.715,2019,2020
54,VN09,21.931,103.422,2019,2020
55,VN14,20.924,103.587,2019,2020
56,VN15,21.254,103.481,2019,2020
57,VN10,21.694,103.079,2020,2020
58,VN11,21.67,103.635,2020,2020
59,VN12,21.532,103.241,2020,2020
60,VN13,21.3,103.233,2020,2020
61,BGVB,21.2902,106.227,2020,2020
62,BKVB,22.15,105.856,2020,2020
63,CBVB,22.6598,106.271,2020,2020
64,CBVB,22.6599,106.271,2020,2020
65,CCVB,19.0485,104.877,2020,2020
66,CCVB,19.057,104.856,2020,2020
67,DBVB,21.39,103.018,2020,2020
68,HBVB,20.8422,105.328,2020,2020
69,HGVB,22.8168,104.989,2020,2020
70,HGVB,22.2523,104.899,2020,2020
71,LSVB,21.8527,106.749,2020,2020
72,MCVB,20.8347,104.672,2020,2020
73,MCVB,20.844,104.635,2020,2020
74,MCVB,20.8325,104.648,2020,2020
75,MLVB,22.0418,103.154,2020,2020
76,MLVB,21.5922,103.418,2020,2020
77,MLVB,22.0419,103.154,2020,2020
78,MTE2,22.4857,102.618,2020,2020
79,SLV,21.3253,103.907,2020,2020
80,SLV,21.334,103.905,2020,2020
81,THVB,19.8447,105.784,2020,2020
82,THVB,19.8446,105.784,2020,2020
83,THVB,22.4855,102.618,2020,2020
84,TYVB,21.3349,107.389,2020,2020
85,TYVB,21.3348,107.389,2020,2020
86,VCVB,21.5758,104.594,2020,2020
87,VCVB,21.5757,104.594,2020,2020
88,VTVB,22.2523,104.899,2020,2020
