,STAID,stlat,stlon,styear,endyear
0,BGVB,21.2902,106.227,2020,2020
1,BKVB,22.15,105.856,2020,2020
2,CBVB,22.6598,106.271,2020,2020
3,CBVB,22.6599,106.271,2020,2020
4,CCVB,19.0485,104.877,2020,2020
5,CCVB,19.057,104.856,2020,2020
6,DBVB,21.39,103.018,2020,2020
7,HBVB,20.8422,105.328,2020,2020
8,HGVB,22.8168,104.989,2020,2020
9,HGVB,22.2523,104.899,2020,2020
10,LSVB,21.8527,106.749,2020,2020
11,MCVB,20.8347,104.672,2020,2020
12,MCVB,20.844,104.635,2020,2020
13,MCVB,20.8325,104.648,2020,2020
14,MLVB,22.0418,103.154,2020,2020
15,MLVB,21.5922,103.418,2020,2020
16,MLVB,22.0419,103.154,2020,2020
17,MTE2,22.4857,102.618,2020,2020
18,SLV,21.3253,103.907,2020,2020
19,SLV,21.334,103.905,2020,2020
20,THVB,19.8447,105.784,2020,2020
21,THVB,19.8446,105.784,2020,2020
22,THVB,22.4855,102.618,2020,2020
23,TYVB,21.3349,107.389,2020,2020
24,TYVB,21.3348,107.389,2020,2020
25,VCVB,21.5758,104.594,2020,2020
26,VCVB,21.5757,104.594,2020,2020
27,VTVB,22.2523,104.899,2020,2020
