,year,month,day,hour,minute,second,Lat,Lon,Depth,NST,Ml
0,2008,3,2,18,26,45.4,22.256,101.865,30.4,10,4.2
1,2008,3,21,14,46,29.6,22.594,108.143,17.0,5,3.5
2,2008,10,8,2,21,37.4,23.495,101.982,10.0,18,4.0
3,2008,10,17,21,37,43.6,23.271,103.995,10.7,19,4.1
4,2008,12,23,1,20,38.7,23.464,101.868,8.1,13,3.6
5,2008,12,29,19,49,50.9,22.489,102.419,19.5,14,3.6
6,2009,1,20,4,3,1.7,22.203,101.41,10.0,16,3.8
7,2009,3,7,7,28,5.7,23.016,104.088,0.1,18,3.9
8,2009,3,27,14,43,35.1,22.267,102.731,0.0,18,3.6
9,2009,4,4,22,3,50.4,23.348,101.778,10.0,20,4.4
10,2009,4,27,22,18,8.8,23.432,102.487,12.0,10,3.5
11,2009,5,22,18,50,21.9,21.609,102.116,10.0,10,4.2
12,2009,5,28,8,41,45.5,21.565,101.751,18.3,13,3.7
13,2009,8,19,2,25,24.7,22.402,102.485,7.0,10,3.7
14,2009,10,5,16,53,8.1,22.211,101.867,10.0,18,4.1
15,2009,10,14,1,58,36.0,20.786,101.943,10.0,16,4.0
16,2009,11,2,20,27,53.4,20.777,101.976,20.9,13,3.5
17,2009,11,10,7,36,53.1,20.728,101.961,10.0,15,4.0
18,2009,11,26,4,47,0.3,21.261,104.181,1.0,15,4.0
19,2009,11,26,13,59,2.5,21.313,104.179,9.4,10,3.6
20,2009,12,13,19,8,33.4,22.786,101.231,21.0,15,3.5
21,2010,6,20,9,18,44.5,21.199,101.764,10.0,6,3.9
22,2010,9,19,8,58,15.9,20.152,104.736,0.5,19,4.3
23,2010,9,22,2,9,7.6,20.173,104.893,0.0,5,4.6
24,2010,10,2,2,52,36.6,21.874,101.534,32.8,15,4.0
25,2010,10,10,14,51,0.2,22.095,101.866,10.0,11,3.6
26,2010,10,19,20,21,49.6,19.071,105.143,0.0,16,4.1
27,2010,11,9,18,25,5.8,21.792,103.606,15.0,9,3.9
28,2010,12,30,18,50,16.9,20.856,103.395,2.4,29,4.7
29,2010,12,30,21,43,59.1,20.842,103.31,2.8,23,3.5
30,2011,1,23,15,46,19.5,23.127,101.853,10.0,18,4.1
31,2011,2,23,15,53,16.4,18.877,101.963,10.0,17,4.4
32,2011,5,7,13,1,55.8,20.774,103.105,16.1,19,3.9
33,2011,5,21,20,31,16.1,22.881,103.699,10.0,19,4.0
34,2012,5,8,18,50,44.0,22.423,102.244,8.1,6,3.8
35,2012,10,3,3,18,41.8,20.99,107.016,18.8,21,4.5
36,2012,11,7,18,42,4.9,21.005,106.916,20.9,14,3.7
37,2013,2,20,5,1,56.2,23.286,101.515,2.7,6,4.2
38,2013,3,19,1,47,15.8,23.154,101.174,5.7,5,3.7
39,2013,10,21,15,10,5.3,20.958,103.862,32.6,13,3.8
40,2014,1,28,12,1,57.6,22.576,101.201,21.1,27,4.6
41,2014,1,28,12,2,21.1,21.661,102.85,0.0,6,3.6
42,2014,5,1,18,8,50.5,21.608,101.051,10.0,12,3.8
43,2014,6,26,12,44,10.6,21.249,102.872,0.3,7,4.1
44,2014,6,29,4,51,12.5,22.64,102.269,3.9,8,3.9
45,2014,7,19,12,14,57.6,21.585,103.985,0.0,31,4.7
46,2014,8,19,23,50,17.4,21.638,104.0,0.0,27,4.1
47,2014,8,27,10,45,13.5,23.084,101.073,0.0,10,4.3
48,2015,2,20,22,37,47.1,23.139,101.76,11.4,10,4.5
49,2015,6,12,8,39,11.2,19.176,104.896,14.0,7,4.2
50,2015,6,29,1,12,27.8,20.298,102.362,8.6,4,4.0
51,2015,7,1,20,0,34.4,22.935,103.614,8.8,25,3.9
52,2015,7,3,10,31,46.9,23.015,103.49,8.1,20,3.6
53,2015,8,14,2,14,59.2,19.737,103.29,8.1,9,3.6
54,2015,9,13,9,43,45.7,22.976,103.579,8.1,22,3.8
55,2015,9,14,20,43,54.6,23.032,103.523,14.1,19,3.5
56,2015,9,21,15,3,55.4,21.629,103.659,8.1,27,3.7
57,2015,11,2,18,43,31.6,22.927,102.063,8.2,17,4.0
58,2015,12,5,21,52,26.7,22.387,106.535,19.8,8,3.6
59,2016,1,21,13,48,15.6,21.152,102.727,11.3,7,4.0
60,2016,3,5,11,20,22.8,21.79,101.344,23.7,5,4.8
61,2016,3,7,1,24,39.1,22.63,101.994,8.1,11,4.6
62,2016,5,4,7,51,47.3,23.426,103.285,0.1,6,4.8
63,2016,5,4,7,57,36.7,23.45,102.999,10.0,4,4.3
64,2016,5,4,9,23,54.5,23.496,103.1,0.0,4,4.7
65,2016,5,4,22,17,44.1,23.358,103.243,6.2,4,3.8
66,2016,5,16,13,6,25.5,22.086,102.175,10.0,5,3.8
67,2016,8,7,9,59,55.1,22.335,102.25,0.1,7,3.5
68,2016,9,22,13,34,14.5,23.29,101.51,15.5,4,4.2
69,2016,10,14,15,28,57.9,22.531,101.566,18.5,4,3.9
