RSN,EQID,SSN,EveLat,EveLon,MW,ML,mag,Depth,Rhyp,Rjb,Repi,STAID,Tn_rsn,pstar_rsn,SiteClass,SiteCLnew,VS30_Mac23,VS30_Art21,VS30_HA16,StaLat,StaLon,hp_freq,lp_freq,T0_01s,T0_02s,T0_022s,T0_025s,T0_029s,T0_03s,T0_032s,T0_035s,T0_036s,T0_04s,T0_042s,T0_044s,T0_045s,T0_046s,T0_048s,T0_05s,T0_055s,T0_06s,T0_065s,T0_067s,T0_07s,T0_075s,T0_08s,T0_085s,T0_09s,T0_095s,T0_1s,T0_11s,T0_12s,T0_13s,T0_133s,T0_14s,T0_15s,T0_16s,T0_17s,T0_18s,T0_19s,T0_2s,T0_22s,T0_24s,T0_25s,T0_26s,T0_28s,T0_29s,T0_3s,T0_32s,T0_34s,T0_35s,T0_36s,T0_38s,T0_4s,T0_42s,T0_44s,T0_45s,T0_46s,T0_48s,T0_5s,T0_55s,T0_6s,T0_65s,T0_667s,T0_7s,T0_75s,T0_8s,T0_85s,T0_9s,T0_95s,T1s,T1_1s,T1_2s,T1_3s,T1_4s,T1_5s,T1_6s,T1_7s,T1_8s,T1_9s,T2s,T2_2s,T2_4s,T2_5s,T2_6s,T2_8s,T3s,T3_2s,T3_4s,T3_5s,T3_6s,T3_8s,T4s,T4_2s,T4_4s,T4_6s,T4_8s,T5s,T5_5s,T6s,T6_5s,T7s,T7_5s,T8s,T8_5s,T9s,T9_5s,T10s
1,2,1,22.594,108.143,2.9,3.515,3.483333333,17,257.0076655,256.4322535,256.4448091,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.57,20,0.009775742,0.009873946,0.009962059,0.010291021,0.010951517,0.011160646,0.01153574,0.011994769,0.011621774,0.013967058,0.017397106,0.018963487,0.019158269,0.018852937,0.01745172,0.019481832,0.019911262,0.019758581,0.022635452,0.024380403,0.024477285,0.02579041,0.025899561,0.028659946,0.035808295,0.04415931,0.044504754,0.033531444,0.029572399,0.029625102,0.030358743,0.027490198,0.022958529,0.021315686,0.019588802,0.018693291,0.016423958,0.012188451,0.009953181,0.009390617,0.009613516,0.009812421,0.008016483,0.007153747,0.006005909,0.004606998,0.003712644,0.003707123,0.00374108,0.003422994,0.003456321,0.003149035,0.003042594,0.002939346,0.002757578,0.002688116,0.002961115,0.002255674,0.001746744,0.0014087,0.001382374,0.001304186,0.001104533,0.001045114,0.001052068,0.000795355,0.00063139,0.000526939,0.000417525,0.000338939,0.000299747,0.00024659,0.000236402,0.000199042,0.000178131,0.000141812,0.000129969,0.000106758,8.24e-05,7.73e-05,6.35e-05,5.65e-05,4.83e-05,4.61e-05,5.76e-05,4.65e-05,4.24e-05,3.96e-05,3.89e-05,3.4e-05,3.74e-05,3.74e-05,3.72e-05,4.02e-05,3.71e-05,3.07e-05,2.65e-05,2.26e-05,2.19e-05,1.72e-05,1.72e-05,2.01e-05,1.81e-05,1.52e-05,1.56e-05
2,4,1,23.271,103.995,3.4,4.115,3.883333333,10.7,239.0631695,238.7941621,238.8235939,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.67,20,0.01875522,0.018348367,0.018387178,0.018552094,0.018881798,0.01892848,0.019040707,0.019478058,0.019664839,0.020795582,0.021881551,0.021873383,0.022099215,0.022651073,0.023257306,0.022548617,0.024037308,0.023473836,0.027773252,0.028711778,0.029496241,0.032075427,0.03266331,0.036651086,0.043758792,0.047657632,0.054258434,0.054886963,0.054511307,0.056365071,0.06009696,0.061377306,0.058256892,0.057614259,0.060605777,0.057250914,0.059298965,0.063751097,0.055495291,0.044224199,0.038316689,0.033258188,0.023634653,0.023156128,0.021440756,0.019969011,0.019469007,0.020130524,0.019778239,0.016624266,0.015880447,0.01714584,0.015548291,0.014523668,0.014183478,0.013957526,0.012332431,0.010818484,0.009943983,0.007339357,0.00669111,0.006261378,0.005554295,0.004658866,0.00395179,0.004145946,0.004182832,0.003382719,0.002139724,0.001637837,0.00123078,0.001296529,0.00118275,0.001010212,0.000883902,0.000886607,0.000949204,0.000899193,0.000691055,0.00052015,0.000467087,0.000437429,0.000430404,0.000382059,0.000350914,0.000314688,0.000288128,0.000259602,0.000220963,0.000191728,0.000169123,0.000150456,0.000133238,0.000114961,9.93e-05,7.84e-05,6.33e-05,4.97e-05,4.43e-05,3.69e-05,3.44e-05,3.57e-05,3.57e-05,3.19e-05,2.65e-05
3,8,1,23.016,104.088,3.5,3.915,3.75,0.1,213.9253659,213.8904441,213.9253426,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.79,20,0.020671615,0.020459015,0.020581631,0.020759201,0.020981851,0.021051993,0.021047489,0.021181715,0.021300384,0.021841011,0.022304775,0.022386958,0.022618436,0.022700783,0.022509467,0.022790903,0.024107374,0.025179171,0.031036911,0.031111561,0.031141015,0.032818692,0.037880348,0.043039196,0.047648722,0.05088386,0.052930963,0.057184851,0.05787321,0.07317111,0.076303076,0.070280448,0.076772068,0.073576574,0.076087803,0.074929928,0.082579704,0.078621378,0.051464177,0.035764575,0.03771001,0.038960317,0.037747222,0.035531252,0.032505629,0.027646196,0.031152113,0.034428491,0.036685214,0.036351856,0.031931803,0.026373169,0.024379035,0.025104734,0.025138137,0.022102115,0.017595933,0.013385756,0.01212734,0.009897466,0.009837675,0.008839061,0.008673846,0.008368609,0.006412109,0.005396845,0.004705269,0.004461224,0.003523029,0.00257271,0.002368667,0.002174449,0.001999877,0.001666461,0.001670547,0.001540286,0.001285215,0.001081722,0.000946004,0.000808067,0.000781679,0.000734993,0.000601913,0.00051238,0.000442426,0.000432817,0.000407796,0.000397059,0.000379085,0.000329892,0.000294794,0.00027487,0.000235016,0.000205435,0.000183449,0.000150215,0.000120447,0.000100985,9.08e-05,7.56e-05,6.41e-05,6.05e-05,5.44e-05,4.59e-05,4.06e-05
4,19,1,21.261,104.181,4,4.015000001,3.816666667,1,178.5527033,178.4681079,178.549903,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.93,20,0.063328998,0.062306275,0.062541389,0.062951098,0.063614659,0.063948166,0.064548595,0.064284627,0.064304089,0.0650319,0.066545964,0.068478267,0.068835574,0.069122099,0.069839497,0.071920109,0.072621287,0.074193413,0.084625662,0.085093274,0.089470284,0.087408759,0.095321911,0.107633296,0.127220341,0.131979232,0.128346071,0.124735494,0.171676897,0.206046969,0.217026171,0.212952083,0.202727254,0.196241484,0.176856587,0.181241607,0.181678542,0.18777016,0.193825628,0.199196509,0.209985499,0.197117705,0.154520485,0.131936599,0.112457694,0.084118056,0.064089754,0.057169798,0.052821869,0.045539094,0.041274356,0.03907194,0.033769576,0.034766612,0.03432575,0.031400348,0.034112933,0.032251604,0.021510038,0.019590166,0.01775996,0.01486817,0.016963898,0.015987918,0.013751548,0.011203061,0.009670004,0.008606532,0.008327618,0.00719068,0.00579433,0.005312602,0.004793146,0.004000272,0.003142706,0.002634581,0.002486483,0.002578368,0.001966382,0.001503193,0.001551316,0.001619755,0.001623005,0.001407674,0.001234748,0.001071028,0.000953698,0.000854826,0.0006993,0.000557627,0.000449687,0.000401508,0.000377027,0.000340481,0.000294577,0.000212942,0.000170208,0.000141345,0.000115389,9.33e-05,8.63e-05,7.88e-05,6.9e-05,5.74e-05,4.83e-05
5,20,1,21.313,104.179,3.6,3.615,3.55,9.4,176.798972,176.5075272,176.5489069,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.33,20,0.02287592,0.02281226,0.02286209,0.023137034,0.023457378,0.023551109,0.023594962,0.023788404,0.024009759,0.025685898,0.026456776,0.02617415,0.02621759,0.026581148,0.027304894,0.028473263,0.028829929,0.029849247,0.033803077,0.034852211,0.03662252,0.037828703,0.045450678,0.056530757,0.071405651,0.079630029,0.07117755,0.069740105,0.068374498,0.067386984,0.072235497,0.073611141,0.076844471,0.072540164,0.06385742,0.056006447,0.064060571,0.063875468,0.053938394,0.047493703,0.03910443,0.032501576,0.028570349,0.025617666,0.021038685,0.017869711,0.015591564,0.015363025,0.015578192,0.015787844,0.014647204,0.013519133,0.012561189,0.011665969,0.011161876,0.012591148,0.014699214,0.011780107,0.011668324,0.010373069,0.009114841,0.008274429,0.007815586,0.007596613,0.006134583,0.00499815,0.004845685,0.005145265,0.005012918,0.00430213,0.003524301,0.002681537,0.002365365,0.002071409,0.001793162,0.001508858,0.001560984,0.001572812,0.001245251,0.000917437,0.000925287,0.000950882,0.001042603,0.000950979,0.000785315,0.000669751,0.000603087,0.000534112,0.000424508,0.000340546,0.000291787,0.000271479,0.000246096,0.000199259,0.000160563,0.0001181,9.5e-05,8.1e-05,6.97e-05,5.26e-05,4.69e-05,4.43e-05,3.64e-05,3.12e-05,2.94e-05
6,23,1,20.152,104.736,3.7,4.3,4.3,0.5,220.6715434,220.6219098,220.670977,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.53,20,0.058367166,0.057520226,0.057631266,0.057812926,0.058158746,0.058243687,0.058605313,0.05845915,0.058525147,0.058807149,0.059797664,0.061078753,0.061583151,0.061984613,0.062462078,0.062346294,0.061555737,0.062602931,0.0656928,0.065527319,0.068359566,0.071459705,0.071831978,0.074434634,0.079547871,0.08582509,0.092248674,0.101327526,0.112903065,0.124915042,0.129909323,0.146168686,0.17416027,0.204522846,0.191357451,0.183879245,0.174658674,0.167754844,0.138417453,0.150755948,0.165593116,0.169929875,0.169510222,0.155012899,0.161486525,0.154403962,0.138589396,0.129779407,0.122761628,0.102631169,0.085640923,0.074827816,0.067927879,0.066082711,0.064588863,0.060833511,0.055227314,0.041019221,0.03392071,0.035210844,0.032894192,0.027756115,0.021436945,0.020548285,0.018525681,0.01621964,0.013849539,0.011986705,0.009403242,0.007919399,0.00797896,0.008263885,0.00817012,0.007072019,0.005749159,0.005448757,0.00482467,0.003998244,0.002679247,0.002084058,0.001835064,0.001581589,0.001355383,0.001239819,0.001140214,0.000993526,0.000907026,0.000835054,0.000735758,0.000668212,0.000611855,0.000565397,0.000517839,0.000471713,0.000427001,0.000366087,0.00032649,0.000297621,0.000265445,0.000233542,0.000196758,0.000173543,0.000150662,0.000126826,0.000107438
7,24,1,20.173,104.893,4.6,4.6,4.6,0,211.0953248,210.8680447,211.0953248,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.59,20,0.001385758,0.00149866,0.001558891,0.001653683,0.002155147,0.002623585,0.003328136,0.003429102,0.003967191,0.005297411,0.005303909,0.005386202,0.005256564,0.005352296,0.005876785,0.005952553,0.004111857,0.003526856,0.003612826,0.003692259,0.003882189,0.00422972,0.004180906,0.003185362,0.003773299,0.00404272,0.003947512,0.003688284,0.004070713,0.00361909,0.003436811,0.003473724,0.004564862,0.004794772,0.003922126,0.002853707,0.001979666,0.001530657,0.001077953,0.000906585,0.000785644,0.000648264,0.000532793,0.00046478,0.000397094,0.000322708,0.000272906,0.000245299,0.000224047,0.000225541,0.000224535,0.000200648,0.000168613,0.000159185,0.000149854,0.00013226,0.000117254,0.00010037,9.11e-05,9.64e-05,8.55e-05,7.83e-05,7.72e-05,8.08e-05,6.73e-05,6.47e-05,6.72e-05,7.09e-05,7.51e-05,7.64e-05,7.34e-05,7.56e-05,8.29e-05,0.000104775,0.000103685,0.000105191,0.000114196,0.000120227,0.000106927,8.5e-05,7.98e-05,7.56e-05,6.94e-05,6.06e-05,5.39e-05,4.87e-05,4.68e-05,4.61e-05,4.04e-05,4.04e-05,3.6e-05,3.75e-05,3.76e-05,3.51e-05,3.35e-05,2.72e-05,2.36e-05,1.91e-05,1.83e-05,1.54e-05,1.51e-05,1.51e-05,1.51e-05,1.35e-05,1.35e-05
8,28,1,21.792,103.606,3.2,3.915,3.75,15,224.3032774,223.7802297,223.8011624,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.77,20,0.007081283,0.007022547,0.007028454,0.007020198,0.007169141,0.007205881,0.007198839,0.007275847,0.007278534,0.00728845,0.007304508,0.007398767,0.007440976,0.007452503,0.007499682,0.007631347,0.007834555,0.007966108,0.008197741,0.008254748,0.008344298,0.009205309,0.009527813,0.010045076,0.011634672,0.013111595,0.012906219,0.013481376,0.015153434,0.016426572,0.017237251,0.019745708,0.021939354,0.027582395,0.028249197,0.022568297,0.022818196,0.024112918,0.022247809,0.022201166,0.019449487,0.016191394,0.011070754,0.010190199,0.00923574,0.007992241,0.006980163,0.006820184,0.006870848,0.006547239,0.006221173,0.005955915,0.0054055,0.004988469,0.004565484,0.004373345,0.004164552,0.004042237,0.004110141,0.00383279,0.003911103,0.003836274,0.003533505,0.003240322,0.003054256,0.002880334,0.002518131,0.002053825,0.001456086,0.001134235,0.000857878,0.000828258,0.000699954,0.00054013,0.000464802,0.000476164,0.000411166,0.000315494,0.000291158,0.000242356,0.000212974,0.000187571,0.000150681,0.000137202,0.000123451,0.000104376,9.87e-05,8.86e-05,6.58e-05,5.78e-05,5.54e-05,5.81e-05,5.29e-05,4.46e-05,4.57e-05,4.66e-05,3.4e-05,2.92e-05,1.96e-05,2.09e-05,1.87e-05,1.87e-05,1.61e-05,1.63e-05,1.83e-05
9,29,1,20.856,103.395,4.4,4.7,4.7,2.4,271.436256,271.2639528,271.4256455,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.1,20,0.033033074,0.032865893,0.032926881,0.032984762,0.033162884,0.033211199,0.033265913,0.033317451,0.033355696,0.033566318,0.033654436,0.033811352,0.03389753,0.033987928,0.034143937,0.034174213,0.034444638,0.035273216,0.035304913,0.035361804,0.035882508,0.036211109,0.036405176,0.038070823,0.042000002,0.043454085,0.045581733,0.049953126,0.054777107,0.065325562,0.068423077,0.0753034,0.082788291,0.089318006,0.09299402,0.100514696,0.106306075,0.099480863,0.115533166,0.10236927,0.104248641,0.111020088,0.097280778,0.090815524,0.079299939,0.059977021,0.060537165,0.062106529,0.062505189,0.065387275,0.062754127,0.065726593,0.065404331,0.071643123,0.075287591,0.070448708,0.066841159,0.062422603,0.049840446,0.047764034,0.045033416,0.038350731,0.041569799,0.035082027,0.02746471,0.032057168,0.031807371,0.030852698,0.025002195,0.016323624,0.016131322,0.016025154,0.01280507,0.01054545,0.009558001,0.009269412,0.008587394,0.008129079,0.009306994,0.009569884,0.009358067,0.008982685,0.008344754,0.007457855,0.006115937,0.005267322,0.004894781,0.00453336,0.003979497,0.003489478,0.003091055,0.002782069,0.002613131,0.002453902,0.00219353,0.001823071,0.001459809,0.001178245,0.000974326,0.000942196,0.000849871,0.000741057,0.000649194,0.000563546,0.000486762
10,30,1,20.842,103.31,3.2,3.515,3.483333333,2.8,280.0973263,280.0623978,280.0833308,"BCVB",0.17,2.137239743,2,2,674.0401321,483.9685934,483.9685934,21.885,105.772,0.18,20,0.002245962,0.002214574,0.002225129,0.002251037,0.002259162,0.002236093,0.002241696,0.002350753,0.002375039,0.003332445,0.003343639,0.003312086,0.003223996,0.003234033,0.003335285,0.003447107,0.004018437,0.003968283,0.003425212,0.003537268,0.003907214,0.005574271,0.006221811,0.004857078,0.004120538,0.003946905,0.00411845,0.003942111,0.004365556,0.004953596,0.004954945,0.005312626,0.006090002,0.005556124,0.00565439,0.006013147,0.005990456,0.005905575,0.006041622,0.005678879,0.005947678,0.005820458,0.005893763,0.006207934,0.006116675,0.00564457,0.005484047,0.005206762,0.004974271,0.005448985,0.005508054,0.004529532,0.00486717,0.005130429,0.005241109,0.005427629,0.004836569,0.004530877,0.003732506,0.00305705,0.002767219,0.002180183,0.002159642,0.002072851,0.001612638,0.001726004,0.001596767,0.001563169,0.001171588,0.000841975,0.000577858,0.000595567,0.000522686,0.000442497,0.000384976,0.0003367,0.000291309,0.000267869,0.000286328,0.000257146,0.000242145,0.000247682,0.000218151,0.000202274,0.000174353,0.000132408,0.000112018,9.91e-05,9.6e-05,8.66e-05,7.66e-05,6.45e-05,6.26e-05,6.37e-05,5.71e-05,6.72e-05,5.43e-05,3.62e-05,3.17e-05,2.87e-05,2.48e-05,2.29e-05,1.93e-05,1.94e-05,1.93e-05
