ssn,StaLat,StaLon,Nrec,N0,Tn,Tn_new,p_sta,p_star_new,T0,p0,STAID,SiteClass,siteCL_new,SiteClass2,T0_01s,T0_02s,T0_022s,T0_025s,T0_029s,T0_03s,T0_032s,T0_035s,T0_036s,T0_04s,T0_042s,T0_044s,T0_045s,T0_046s,T0_048s,T0_05s,T0_055s,T0_06s,T0_065s,T0_067s,T0_07s,T0_075s,T0_08s,T0_085s,T0_09s,T0_095s,T0_1s,T0_11s,T0_12s,T0_13s,T0_133s,T0_14s,T0_15s,T0_16s,T0_17s,T0_18s,T0_19s,T0_2s,T0_22s,T0_24s,T0_25s,T0_26s,T0_28s,T0_29s,T0_3s,T0_32s,T0_34s,T0_35s,T0_36s,T0_38s,T0_4s,T0_42s,T0_44s,T0_45s,T0_46s,T0_48s,T0_5s,T0_55s,T0_6s,T0_65s,T0_667s,T0_7s,T0_75s,T0_8s,T0_85s,T0_9s,T0_95s,T1s,T1_1s,T1_2s,T1_3s,T1_4s,T1_5s,T1_6s,T1_7s,T1_8s,T1_9s,T2s
1,21.885,105.772,13,13,0.17,0.17,2.121645344,2.137239743,0.042,1.548766579,BCVB,2,2,2,1.524058498,1.502574311,1.512632963,1.503176037,1.492913324,1.485940067,1.471638779,1.444699049,1.449830615,1.518486842,1.548766579,1.516166914,1.495660822,1.483455817,1.44946048,1.423300163,1.384971453,1.224849141,1.298841653,1.329998918,1.338527614,1.270647722,1.261155422,1.253998223,1.348157336,1.357425485,1.403836319,1.487889355,1.562338724,1.699795828,1.778256561,1.920734382,2.043532585,2.112558153,2.121645344,1.937429121,1.82103884,1.845703119,1.684521945,1.498727708,1.588298605,1.568016532,1.510040351,1.438432013,1.329975519,1.175289952,1.178588656,1.157413631,1.133669769,1.178302989,1.17354779,1.192333872,1.190575336,1.200681473,1.181947649,1.152468831,1.258864693,1.31553145,1.272807837,1.22855515,1.259059304,1.261186283,1.313134943,1.36049396,1.26367616,1.230121088,1.171628621,1.185211679,1.190027333,1.181753928,1.135515745,1.269189691,1.322038188,1.317894372,1.312353024,1.383965995,1.40571394,1.371121576
2,21.29,106.228,9,7,0.22,0.22,2.757450812,3.367316276,0.55,1.53436097,BGVB,3,3,3,1.371084818,1.352807881,1.355031734,1.363680191,1.365940821,1.37006737,1.376147078,1.389924465,1.402319233,1.369616796,1.329317707,1.30334201,1.289006983,1.283983491,1.260783717,1.237131509,1.178894117,1.145648343,1.117738843,1.090764298,1.11449005,1.1420941,1.144641164,1.139294036,1.11761656,1.187311027,1.195459796,1.225082809,1.641631927,1.821769031,1.74868156,1.70024864,2.103372825,2.064597583,2.040070087,2.362016799,2.594392441,2.493665485,2.757450812,2.30655548,2.113642965,2.084606661,1.942625141,1.920645792,1.949911642,1.910566286,1.929218916,2.002203728,2.021635723,1.959855613,1.772878801,1.614552183,1.596997831,1.620869649,1.619782971,1.585828571,1.526159016,1.53436097,1.379521971,1.375051143,1.407840864,1.458002508,1.40468421,1.253272251,1.297384787,1.238987206,1.271129292,1.291211912,1.259936769,1.297835021,1.305526398,1.281146587,1.245117864,1.221540302,1.249853115,1.149960371,1.236728631,1.216727256
3,22.15000833,105.856,12,12,0.14,0.14,2.910181401,2.938366071,0.035,2.101856285,BKVB,2,2,2,1.991827014,2.021734243,2.035247742,2.008399007,1.983707426,1.995199318,2.020955607,2.101856285,2.085631598,2.066344056,1.996032317,1.918540398,1.87685205,1.852244806,1.812307735,1.793893118,1.817696454,1.793514126,1.628942701,1.543227337,1.486165034,1.507040008,1.493053163,1.61585364,1.725408968,1.938310871,1.979889451,2.388627985,2.838906449,2.877592284,2.900770929,2.910181401,2.610148992,2.461873605,2.312514661,2.182191848,2.177950813,2.221398818,2.143524998,1.84458924,1.628672022,1.532329604,1.383323934,1.360473327,1.349364256,1.416645565,1.5456812,1.546399663,1.540986102,1.509709372,1.544642119,1.676449225,1.579418367,1.498674206,1.404207385,1.321248078,1.446896196,1.611840047,1.342104289,1.31548315,1.352131698,1.303742859,1.154093399,1.058440468,1.00047867,0.921610374,1.016671711,1.123428802,1.278644965,1.299685924,1.409745794,1.513619077,1.534418177,1.594441055,1.610427258,1.431878107,1.283205061,1.191810174
4,22.65991875,106.271,16,16,0.6,3,1.458138105,1.53445755,0.08,1.372463847,CBVB,1,1.02,1,1.125468785,1.138775044,1.125167964,1.121083845,1.106030763,1.107651046,1.118499032,1.111192777,1.117016915,1.157243447,1.157879009,1.168198677,1.177445997,1.169507263,1.165030645,1.15671331,1.178079299,1.179727587,1.172662606,1.184781072,1.227830418,1.296245735,1.372463847,1.342510439,1.339628005,1.312179918,1.294604938,1.352713683,1.321259567,1.275131231,1.242590134,1.18277764,1.128131647,1.089290095,1.033647023,0.994769795,1.036430047,1.054270033,1.084175507,1.17058612,1.198100073,1.205916775,1.152013848,1.181564141,1.233537748,1.245003584,1.34242757,1.37647184,1.400547279,1.389232713,1.390306996,1.364538206,1.315024985,1.287813585,1.297803646,1.412460422,1.436157835,1.343068531,1.458138105,1.429835264,1.404823755,1.308491979,1.173518925,1.075571219,1.134215534,1.155631649,1.081224157,0.985715004,0.901877919,0.926000896,0.975528915,1.014091931,1.170436237,1.24523517,1.263450071,1.245889903,1.27804806,1.26976222
5,19.0525,104.8671176,17,17,1.1,1.1,1.346278961,1.39790589,1.8,1.22077607,CCVB,1,1.02,1,0.951295811,0.950763909,0.968489156,0.968296623,0.999296974,1.011237609,1.023663252,0.985317942,0.98129435,0.975227476,0.964762556,0.958952473,0.959347341,0.963703141,0.970228537,0.964660403,0.950796952,0.921415073,0.921828674,0.911117299,0.881635665,0.839146392,0.881484494,0.931103836,0.971663936,1.054079792,1.10499244,1.082892571,1.013783878,0.881864748,0.863461975,0.898565217,0.995225481,1.097063169,1.112104162,1.069514845,1.052184738,0.944999589,0.890025943,0.856130915,0.854756284,0.846332817,0.940005787,0.958356127,0.94444433,0.969558423,0.97558592,0.978232231,0.978955422,0.968321118,1.006800637,0.998797325,1.022863697,1.069246152,1.083167335,1.065943176,1.028908982,1.030923728,1.085049878,1.182244093,1.178823216,1.20162499,1.235061319,1.254046851,1.252092341,1.168967054,1.191857366,1.252444446,1.346278961,1.2739167,1.262310671,1.338915874,1.167874798,1.028424388,1.161062665,1.22077607,1.190603984,1.174819515
6,21.39,103.018,32,24,0.6,0.667,2.353368982,2.296416062,1.4,1.805949783,DBVB,4,4,5,1.621829905,1.611955613,1.611441363,1.60410934,1.581200486,1.573064512,1.562308597,1.552218057,1.565008442,1.555705396,1.566675476,1.56647764,1.584089453,1.602601336,1.626192972,1.62656455,1.621364592,1.614234356,1.614359919,1.589735856,1.557985446,1.551903535,1.501727898,1.476757041,1.512196741,1.56166334,1.5550587,1.657130051,1.610827533,1.644353597,1.634733057,1.580465166,1.511200907,1.520776494,1.511949636,1.541872016,1.598638115,1.638295339,1.794220541,1.946670809,1.922693121,1.865154971,1.888671739,1.923749802,1.959794287,1.961971857,1.94246265,1.902418771,1.871764104,1.90578797,1.999175299,2.022278327,2.035104234,2.065172862,2.093861817,2.141696528,2.179892902,2.249936755,2.353368982,2.340845278,2.31826038,2.182706094,1.99613579,1.634231528,1.41790371,1.401909086,1.288568836,1.295753987,1.448605798,1.632015066,1.732411769,1.805949783,1.651578514,1.618989375,1.647853612,1.62378507,1.617880052,1.590134828
7,21.627,105.184,9,9,0.095,0.09,2.927917228,2.939351163,0.01,2.316743696,DHVB,2,2,2,2.316743696,2.261147922,2.237400937,2.194558699,2.082443143,2.039734131,1.928942255,1.730189911,1.75321003,1.922592346,2.042718138,2.150829765,2.198615306,2.169150184,2.06585238,1.953726587,2.172640405,2.15907931,2.173215956,2.387858095,2.616401188,2.875291691,2.869943877,2.716050272,2.900165801,2.927917228,2.815624893,2.803450356,2.646536148,2.51062252,2.505476291,2.389028213,2.33927442,2.268134569,2.086452131,2.1424981,2.121789664,2.183911977,2.07784617,1.778028982,1.769908486,1.768687559,1.680445666,1.654800464,1.551182637,1.31997468,1.292804845,1.371676543,1.407663904,1.441161006,1.472681074,1.440762672,1.471394401,1.514263779,1.533203292,1.482216855,1.491378166,1.229745718,1.189101796,1.241805177,1.219679962,1.204132033,1.228483124,1.268773908,1.283898642,1.234375645,1.254012858,1.281804026,1.282130075,1.268851051,1.344400038,1.481504571,1.552712222,1.587541605,1.457056176,1.393277386,1.378942577,1.373320106
8,20.84203833,105.328,60,54,0.32,0.32,5.458828389,5.049968424,0.55,1.877787119,HBVB,3,3,3,1.567165912,1.572658042,1.567817337,1.560878926,1.553095891,1.548101406,1.534755916,1.525989032,1.521088217,1.501843363,1.505790868,1.510937839,1.521425963,1.52080597,1.500321947,1.472085223,1.409449897,1.336652935,1.336026015,1.325889221,1.347627113,1.456093407,1.49900228,1.455713989,1.440554179,1.387199756,1.374122875,1.273059175,1.294805363,1.327906174,1.327535905,1.31744668,1.282562133,1.239875267,1.173085204,1.083344193,0.948323821,0.901594878,1.109181452,1.675389081,2.117858574,2.627378553,3.597498148,4.118975692,4.712777661,5.458828389,5.323775688,5.04502704,4.587612828,3.621366411,3.120640332,2.813039641,2.59689206,2.538601351,2.483688121,2.32176366,2.152102866,1.877787119,1.861211502,1.759505668,1.731463471,1.689772844,1.613955586,1.635935233,1.593526899,1.555818215,1.609382853,1.699969544,1.793746955,1.716523894,1.659558026,1.668602154,1.614181121,1.544131552,1.439015824,1.410149304,1.447902414,1.466451491
9,22.8168,104.989,11,11,0.9,0.9,2.055888574,1.956934661,1.5,1.582065825,HGVB,5,1.02,5,1.236829471,1.196045205,1.222039267,1.220601396,1.21246282,1.204019644,1.207193232,1.213833246,1.222147681,1.20186622,1.183261626,1.199022781,1.207740371,1.211315528,1.209056479,1.216503965,1.224416832,1.223889694,1.227952752,1.248410183,1.263194771,1.273999839,1.258434399,1.185943763,1.169317519,1.20760306,1.243459646,1.261252654,1.194291018,1.107546256,1.097653396,1.086220513,1.173341666,1.241091732,1.299860805,1.358938492,1.326672684,1.260232857,1.088457573,1.040503603,1.0768743,1.139483319,1.298720542,1.335162243,1.326879645,1.273062799,1.169883114,1.094229848,1.040164473,0.947512898,0.864270644,0.837205042,0.823768846,0.854362847,0.886852005,0.991259749,0.948242813,0.896622099,0.863042144,0.89068067,0.957408744,1.085272394,1.190991434,1.528939302,2.028765968,2.055888574,1.747173513,1.509247287,1.580621563,1.318135251,1.154987572,1.365970618,1.582065825,1.506484809,1.376852634,1.355643757,1.281039459,1.0957172
10,16.415,107.569,1,1,0.26,0.26,2.487389491,1.71951677,0.45,1.911238266,HUVB,3,1.02,3,1.755450242,1.703884608,1.699880547,1.699017571,1.661079698,1.644773373,1.675471699,1.501254774,1.425995012,1.321807136,1.380108668,1.512974985,1.568135627,1.587369997,1.805826154,1.64159966,1.731250926,1.830088326,2.337550795,2.061759538,1.777355274,2.181140062,1.907681068,1.802854504,1.950411262,1.676940518,1.968101374,2.122107877,1.566307669,1.71634108,1.549133282,1.634672019,1.624243924,1.803012353,1.526356585,1.62769585,1.697312095,1.750302179,1.908273358,2.073380814,2.431663334,2.487389491,1.742295069,1.77648021,1.674487972,1.5171678,1.433727481,1.374797149,1.312391738,1.353198096,1.419526941,1.635337893,1.87773753,1.911238266,1.639169293,1.344983694,1.248483651,1.535108934,1.798661709,1.330442289,1.316847306,1.069548081,0.751261053,0.891477849,0.930227757,0.943737416,0.990603303,0.952808683,0.935206805,0.878643946,0.70323236,0.775278119,0.782911356,0.707521775,0.61179496,0.579732367,0.537488251,0.657089855
